time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1523504679.93255901,0.01938989,9151,0.00534570,0.00000000,0,0.00000000,1009462,1010046,1389,0.00000024
1523504680.03341603,0.01685678,9206,0.00371379,0.00000000,0,0.00000000,1010046,1010857,1422,0.00000012
1523504680.13427401,0.01445174,9221,0.00332798,0.00000000,0,0.00000000,1010857,1011763,1388,0.00000034
1523504680.23513389,0.01855225,9226,0.00599542,0.00000000,0,0.00000000,1011763,1012544,1412,0.00000021
1523504680.33599210,0.01884850,9244,0.00368731,0.00000000,0,0.00000000,1011397,1012566,1400,0.00000022
1523504680.43684912,0.02787343,9257,0.01530611,0.00000000,0,0.00000000,1012566,1013850,1440,0.00000019
1523504680.53770709,0.01500877,9258,0.00254896,0.00000000,0,0.00000000,1013850,1015204,1390,0.00000017
1523504680.63856506,0.01531303,9285,0.00264726,0.00000000,0,0.00000000,1015204,1016672,1485,0.00000019
1523504680.73942208,0.01809039,9324,0.00653410,0.00000000,0,0.00000000,1016672,1014697,1488,0.00000018
1523504680.84028101,0.01325697,9381,0.00325304,0.00000000,0,0.00000000,1014697,1015798,1411,0.00000031
1523504680.94113898,0.01320786,9397,0.00328361,0.00000000,0,0.00000000,1015798,1016963,1461,0.00000019
1523504681.04199910,0.01848042,9431,0.00381740,0.00000000,0,0.00000000,1016963,1017963,1407,0.00000026
1523504681.14285898,0.01830847,9466,0.00582732,0.00000000,0,0.00000000,1017963,1019106,1476,0.00000061
1523504681.24371600,0.01523960,7229,0.00494993,0.00000000,0,0.00000000,1019106,1019783,1105,0.00000021
1523504681.34457707,0.01614315,7276,0.00345444,0.00000000,0,0.00000000,1019783,1020492,1132,0.00000018
1523504681.44543099,0.01402774,7341,0.00279466,0.00000000,0,0.00000000,1020492,1021264,1065,0.00000020
1523504681.54629111,0.01427703,7433,0.00305149,0.00000000,0,0.00000000,1021264,1022077,1170,0.00000016
1523504681.64714789,0.01618726,7499,0.00351340,0.00000000,0,0.00000000,1022077,1022751,1169,0.00000019
1523504681.74800897,0.01620495,7560,0.00441089,0.00000000,0,0.00000000,1022751,1023433,1135,0.00000023
1523504681.84886408,0.01304357,7633,0.00341528,0.00000000,0,0.00000000,1023433,1024175,1102,0.00000016
1523504681.94972205,0.01299314,7716,0.00273245,0.00000000,0,0.00000000,1024175,1024963,1080,0.00000018
1523504682.05058193,0.01368906,7824,0.00343101,0.00000000,0,0.00000000,1024963,1025531,1063,0.00000017
1523504682.15143991,0.01405419,7881,0.00307644,0.00000000,0,0.00000000,1025531,1026338,1091,0.00000024
1523504682.25229812,0.01264884,7956,0.00297992,0.00000000,0,0.00000000,1026338,1026994,1080,0.00000020
1523504682.35315609,0.01336530,8044,0.00274719,0.00000000,0,0.00000000,1026994,1027701,1051,0.00000025
1523504682.45401597,0.01359278,8077,0.00270408,0.00000000,0,0.00000000,1027701,1028262,1005,0.00000026
1523504682.55487204,0.01231556,8123,0.00291502,0.00000000,0,0.00000000,1028262,1028809,1061,0.00000019
1523504682.65573192,0.01525645,8161,0.00397728,0.00000000,0,0.00000000,1028809,1029626,1134,0.00000015
1523504682.75659204,0.01363383,8192,0.00318572,0.00000000,0,0.00000000,1029626,1030417,1170,0.00000020
1523504682.85744810,0.01320679,8211,0.00294457,0.00000000,0,0.00000000,1030417,1031129,1011,0.00000014
1523504682.95830703,0.01339372,8226,0.00276167,0.00000000,0,0.00000000,1031129,1032019,1160,0.00000021
1523504683.05916500,0.01395787,8207,0.00332961,0.00000000,0,0.00000000,1032019,1032616,1087,0.00000029
1523504683.16002607,0.01323781,8214,0.00282439,0.00000000,0,0.00000000,1032616,1033345,1061,0.00000015
1523504683.26088190,0.01707902,8161,0.00413659,0.00000000,0,0.00000000,1033345,1033940,1029,0.00000020
1523504683.36174202,0.01363582,8146,0.00261630,0.00000000,0,0.00000000,1033940,1034621,1017,0.00000018
